Date,Open,High,Low,Close,Adj Close,Volume
10/26/2018,6.13,6.28,5.77,6.28,6.28,79790800
10/29/2018,6.35,6.59,5.89,5.99,5.99,32096500
10/30/2018,5.93,6.539,5.91,6.43,6.43,35878700
10/31/2018,6.57,6.65,6.45,6.61,6.61,27680900
11/1/2018,6.6,7.29,6.46,7.2,7.2,31642800
11/2/2018,7.1,7.18,6.66,6.82,6.82,26902700
11/5/2018,6.9,6.94,6.7,6.9,6.9,14674800
11/6/2018,6.86,7.2,6.85,7.09,7.09,15681600
11/7/2018,7.09,7.29,7.08,7.2,7.2,14356500
11/8/2018,7.15,7.225,6.99,7.02,7.02,10764700
11/9/2018,6.9,6.96,6.66,6.79,6.79,14369900
11/12/2018,6.75,6.87,6.467,6.65,6.65,15064800
11/13/2018,6.73,6.755,6.45,6.71,6.71,10896300
11/14/2018,6.45,6.69,6.39,6.48,6.48,
11/15/2018,6.42,6.87,6.42,6.82,6.82,12623700
11/16/2018,6.77,6.8,6.28,6.49,6.49,19479300
11/19/2018,6.41,6.44,6.02,6.05,,20800600
11/20/2018,5.86,6.226,5.8,6.09,6.09,18838900
11/21/2018,6.21,6.48,6.17,6.35,6.35,15437400
11/23/2018,6.28,6.43,6.175,6.2,6.2,5271200
11/26/2018,6.27,6.52,6.24,6.5,6.5,10384500
11/27/2018,6.47,6.53,6.31,6.4,6.4,12720100
11/28/2018,6.49,6.54,6.27,6.51,6.51,10049300
11/29/2018,6.47,6.54,6.33,6.4,6.4,9346700
11/30/2018,6.4,6.54,6.31,6.51,6.51,10397800
12/3/2018,6.61,6.67,6.28,6.36,6.36,22938700
12/4/2018,6.3,6.45,6.21,6.21,6.21,16864000
12/6/2018,6.07,6.16,5.805,5.97,5.97,16932300
12/7/2018,5.98,6.13,5.75,5.8,5.8,15265200
12/10/2018,5.77,5.909,5.57,5.67,5.67,16389600
12/11/2018,5.76,5.9,5.73,5.75,5.75,12305900
12/12/2018,5.8,6.13,5.78,5.91,5.91,14847800
12/13/2018,5.96,5.99,5.71,5.86,5.86,13728100
12/14/2018,5.78,6.01,5.76,5.92,5.92,13901000
12/17/2018,5.92,5.957,5.51,5.58,5.58,20843100
12/18/2018,5.61,5.84,5.61,5.65,5.65,13823000
12/19/2018,5.65,5.74,5.35,5.41,5.41,12965400
12/20/2018,5.35,5.45,4.96,5.07,5.07,25179300
12/21/2018,5.12,5.14,4.82,4.99,4.99,31629900
12/24/2018,4.96,5.35,4.96,5.18,5.18,15131300
12/26/2018,5.12,5.43,5.02,5.42,5.42,16763800
12/27/2018,5.3,5.41,5.08,5.35,5.35,13089000
12/28/2018,5.35,5.76,5.35,5.71,5.71,19169700
12/31/2018,5.76,5.86,5.42,5.51,5.51,15324800
1/2/2019,5.38,5.87,5.35,5.79,5.79,15253400
1/3/2019,5.67,5.87,5.63,5.68,5.68,16429200
1/4/2019,5.67,5.99,5.63,5.95,5.95,18200400
1/7/2019,6,6.21,5.92,6.21,6.21,14726200
1/8/2019,6.3,6.45,6.21,6.4,6.4,16035400
1/9/2019,6.2,6.31,5.84,6.28,6.28,30170300
1/10/2019,6.37,6.4,6.11,6.22,6.22,15413400
1/11/2019,6.21,6.415,6.2,6.28,6.28,11728600
1/14/2019,6.46,6.5,6.24,6.31,6.31,10735600
1/15/2019,6.47,6.57,6.376,6.54,6.54,15133300
1/16/2019,5.73,5.94,5.63,5.64,5.64,65799500
1/17/2019,5.72,5.84,5.65,5.74,5.74,27651600
1/18/2019,5.83,6.19,5.74,6.18,6.18,37967000
1/22/2019,6.07,6.24,5.88,5.93,5.93,20962400
1/23/2019,6.01,6.1,5.87,5.99,5.99,13145100
1/24/2019,5.94,6.2,5.91,6.17,6.17,15691800
1/25/2019,6.24,6.44,6.2,6.4,6.4,19928600
1/28/2019,6.27,6.395,6.2,6.34,6.34,12143100
1/29/2019,6.42,6.5,6.29,6.43,6.43,14387100
1/30/2019,6.47,6.6,6.31,6.57,6.57,16419300
1/31/2019,6.68,6.81,6.65,6.68,6.68,19115200
2/1/2019,6.78,7.15,6.73,6.91,6.91,22653000
2/4/2019,6.925,6.98,6.7,6.93,6.93,37550700
2/5/2019,7.02,7.05,6.8,7.04,7.04,58791000
2/6/2019,8.61,9.09,8.35,8.59,8.59,148568000
2/7/2019,8.36,8.69,8.04,8.57,8.57,53561900
2/8/2019,8.37,9.19,8.3,9.1,9.1,55131800
2/11/2019,9.03,9.195,8.85,8.99,8.99,38495700
2/12/2019,9.02,9.17,8.77,8.8,8.8,39187100
2/13/2019,8.75,9.23,8.67,9.07,9.07,37645700
2/14/2019,9.05,9.32,9.01,9.19,9.19,32451000
2/15/2019,9.2,9.23,9.04,9.12,9.12,19959800
2/19/2019,9.05,9.34,9.05,9.28,9.28,22961300
2/20/2019,9.25,9.33,9.14,9.24,9.24,21677200
2/21/2019,9.14,9.4,9.13,9.39,9.39,20051600
2/22/2019,9.39,9.8,9.32,9.71,9.71,30180700
2/25/2019,9.9,10.29,9.85,10.12,10.12,44870300
2/26/2019,10.12,10.42,9.825,10.08,10.08,30998800
2/27/2019,10.08,10.1,9.68,9.81,9.81,21923300
2/28/2019,9.85,9.925,9.63,9.8,9.8,16476300
3/1/2019,9.86,10.16,9.755,9.8,9.8,21821800
3/4/2019,9.9,10.05,9.64,9.92,9.92,21506900
3/5/2019,9.91,10.11,9.825,10.08,10.08,19276400
3/6/2019,10,10.06,9.77,9.87,9.87,18320300
3/7/2019,9.85,9.855,9.16,9.49,9.49,
3/8/2019,9.215,9.56,9.18,9.48,,15665000
3/11/2019,9.6,10.065,9.43,9.96,9.96,21696300
3/12/2019,10.04,10.04,9.68,9.88,9.88,16308400
3/13/2019,9.88,10.06,9.765,10.05,10.05,14361000
3/14/2019,10.6,11.38,10.55,11.28,11.28,80897300
3/15/2019,11.56,11.67,10.93,11.16,11.16,51649500
3/18/2019,11.04,11.255,10.71,10.94,10.94,25751100
3/19/2019,10.89,11.04,10.57,10.63,10.63,23380900
3/20/2019,10.52,11.04,10.45,10.94,10.94,19052100
3/21/2019,10.86,11.02,10.76,11.01,11.01,14582400
3/22/2019,11,11.465,10.68,10.73,10.73,26372700
3/25/2019,10.68,10.85,10.46,10.72,10.72,13166300
3/26/2019,10.83,10.935,10.7,10.76,10.76,10066400
3/27/2019,10.75,10.84,10.43,10.64,10.64,11232500
3/28/2019,10.61,10.92,10.58,10.79,10.79,10286400
3/29/2019,10.86,11.06,10.77,11.02,11.02,13317000
4/1/2019,11.14,11.53,10.92,11.36,11.36,22120000
4/2/2019,11.01,11.3,10.93,11.22,11.22,20786500
4/3/2019,11.29,11.51,11.11,11.16,11.16,16789500
4/4/2019,11.23,11.54,10.98,11.28,11.28,28867700
4/5/2019,11.64,12.05,11.45,11.84,11.84,58510700
4/8/2019,12.31,12.63,12.19,12.27,12.27,42413400
4/9/2019,12.16,12.47,12.06,12.35,12.35,26261300
4/10/2019,11.84,12.2,11.565,12.02,12.02,45526000
4/11/2019,12.1,12.37,11.79,11.9,11.9,20186000
4/12/2019,11.98,12.03,11.7,11.97,11.97,15400500
4/15/2019,11.9,12.02,11.79,11.85,11.85,10578900
4/16/2019,11.8,11.85,11.48,11.69,11.69,19741100
4/17/2019,11.76,11.83,11.52,11.75,11.75,14681600
4/18/2019,11.18,11.71,11.18,11.67,11.67,24285200
4/22/2019,11.55,11.7,11.23,11.53,11.53,20725500
4/23/2019,11.94,12.2,11.674,11.99,11.99,63113300
4/24/2019,12.35,12.42,11.06,11.26,11.26,106430600
4/25/2019,11.13,11.15,10.51,10.79,10.79,51272600
4/26/2019,10.73,11.13,10.69,10.91,10.91,23725500
4/29/2019,11.1,11.29,11.06,11.22,11.22,21473800
4/30/2019,11.16,11.37,11.02,11.14,11.14,17017900
5/1/2019,11.2,11.36,11.14,11.2,11.2,13583200
5/2/2019,11.23,11.25,10.99,11.24,11.24,12005000
5/3/2019,11.25,11.84,11.25,11.8,11.8,19211700
5/6/2019,11.39,11.86,11.38,11.77,11.77,12552500
5/7/2019,11.66,11.78,11.07,11.17,11.17,20793200
5/8/2019,11.24,11.27,10.79,10.82,10.82,21362100
5/9/2019,10.71,11.1,10.65,10.98,10.98,15840700
5/10/2019,10.92,10.92,10.28,10.49,10.49,23159700
5/13/2019,10.05,10.34,10.04,10.11,10.11,15911900
5/14/2019,10.23,10.65,10.2,10.49,10.49,19956300
5/15/2019,10.45,10.73,10.4,10.66,10.66,12390500
5/16/2019,10.72,11.54,10.72,11.42,11.42,36343800
5/17/2019,11.24,11.64,11.09,11.49,11.49,24817000
5/20/2019,11.27,11.3,10.98,11.19,11.19,19753900
5/21/2019,11.3,11.56,11.3,11.54,11.54,18344800
5/22/2019,11.42,11.6,11.185,11.31,11.31,19407400
5/23/2019,11.05,11.36,10.76,11.12,11.12,
5/24/2019,11.45,11.81,11.4,11.56,11.56,29187200
5/28/2019,11.58,11.6,11.22,11.57,11.57,46617100
5/29/2019,11.31,11.69,11.24,11.68,11.68,18806800
5/30/2019,11.72,12.19,11.625,11.99,,28744000
5/31/2019,11.99,12.1,11.763,11.89,11.89,29254300
6/3/2019,11.88,12.37,11.53,11.69,11.69,33333300
6/4/2019,11.85,12.95,11.845,12.95,12.95,53352500
6/5/2019,12.99,13.14,12.595,12.94,12.94,30010800
6/6/2019,13,14.13,12.56,13.82,13.82,57526800
6/7/2019,13.91,14.11,13.82,13.87,13.87,28549300
6/10/2019,13.95,14.07,13.695,13.77,13.77,25589800
6/11/2019,13.93,13.97,13.385,13.54,13.54,21898000
6/12/2019,13.71,13.98,13.477,13.75,13.75,17515800
6/13/2019,13.85,14.31,13.75,14.11,14.11,25003000
6/14/2019,14.15,14.15,13.65,13.96,13.96,24189700
6/17/2019,14.17,14.18,13.395,13.55,13.55,26879800
6/18/2019,14.14,14.98,14.12,14.86,14.86,56473200
6/19/2019,14.85,14.85,14.46,14.67,14.67,26536700
6/20/2019,14.83,15,14.63,14.84,14.84,18754000
6/21/2019,14.79,14.82,14.53,14.56,14.56,13530800
6/24/2019,14.68,15.01,14.64,14.76,14.76,27563100
6/25/2019,14.69,15,14.28,14.53,14.53,25174500
6/26/2019,14.75,14.93,14.64,14.71,14.71,18330800
6/27/2019,14.76,14.81,14.56,14.58,14.58,13185000
6/28/2019,14.76,14.78,14.18,14.3,14.3,20060100
7/1/2019,14.73,14.809,14.34,14.35,14.35,18476700
7/2/2019,14.46,14.48,13.98,14.1,14.1,17823900
7/3/2019,14.1,14.77,14.08,14.76,14.76,15065200
